dnid,dnname,dnlatitude,dnlongitude,dnradius
4792031028,경상북도 봉화군 물야면 북지리,36.93135968,128.7324492,3.222
4792032000,경상북도 봉화군 봉성면,36.91761777,128.8093302,7.686
4792032021,경상북도 봉화군 봉성면 봉성리,36.88818144,128.8216022,1.829
4792032023,경상북도 봉화군 봉성면 외삼리,36.89198158,128.7963447,2.384
4792032024,경상북도 봉화군 봉성면 창평리,36.91436077,128.807202,1.992
4792032025,경상북도 봉화군 봉성면 동양리,36.92853414,128.8015386,2.056
4792032026,경상북도 봉화군 봉성면 금봉리,36.93950869,128.7901796,4.985
4792032027,경상북도 봉화군 봉성면 우곡리,36.94145662,128.8277531,4.645
4792032028,경상북도 봉화군 봉성면 봉양리,36.86371762,128.8075809,2.545
4792033000,경상북도 봉화군 법전면,36.90987645,128.9182344,7.68
4792033021,경상북도 봉화군 법전면 법전리,36.92255792,128.8623677,2.457
4792033022,경상북도 봉화군 법전면 풍정리,36.9017735,128.8530459,2.547
4792033023,경상북도 봉화군 법전면 척곡리,36.90408455,128.8955266,2.367
4792033024,경상북도 봉화군 법전면 소천리,36.90343155,128.9287749,2.646
4792033025,경상북도 봉화군 법전면 눌산리,36.89176549,128.9719973,3.005
4792033026,경상북도 봉화군 법전면 어지리,36.92560977,128.9603718,2.468
4792033027,경상북도 봉화군 법전면 소지리,36.92684986,128.8896863,2.42
4792034000,경상북도 봉화군 춘양면,37.0036215,128.8533882,11.839
4792034021,경상북도 봉화군 춘양면 의양리,36.94092342,128.9168289,2.333
4792034022,경상북도 봉화군 춘양면 학산리,36.94871592,128.8718294,3.122
4792034023,경상북도 봉화군 춘양면 서동리,36.95621205,128.8964757,2.93
4792034024,경상북도 봉화군 춘양면 석현리,36.97812771,128.9144484,2.856
4792034025,경상북도 봉화군 춘양면 애당리,37.01864249,128.8734939,4.643
4792034026,경상북도 봉화군 춘양면 도심리,36.97864704,128.8512775,3.747
4792034027,경상북도 봉화군 춘양면 서벽리,37.01704978,128.8162858,4.585
4792034028,경상북도 봉화군 춘양면 우구치리,37.05655419,128.7909085,4.406
4792034029,경상북도 봉화군 춘양면 소로리,36.94481556,128.9381285,3.792
4792035000,경상북도 봉화군 소천면,36.94731459,129.0266625,15.398
4792035021,경상북도 봉화군 소천면 현동리,36.94349532,129.0050961,3.961
4792035022,경상북도 봉화군 소천면 고선리,37.00608749,128.9653699,7.732
4792035023,경상북도 봉화군 소천면 임기리,36.90041082,129.0084763,3.592
4792035024,경상북도 봉화군 소천면 두음리,36.8851164,129.0626167,4.7
4792035025,경상북도 봉화군 소천면 서천리,36.86475358,129.0418205,3.913
4792035026,경상북도 봉화군 소천면 남회룡리,36.88271342,129.1225732,4.455
4792035027,경상북도 봉화군 소천면 분천리,36.94292006,129.0731418,6.513
4792036000,경상북도 봉화군 재산면,36.82180729,129.0005777,9.115
4792036021,경상북도 봉화군 재산면 현동리,36.80686293,128.9686031,3.504
4792036022,경상북도 봉화군 재산면 남면리,36.77588916,128.9609205,4.173
4792036023,경상북도 봉화군 재산면 동면리,36.80924561,129.0203437,4.158
